0,chunk,content
,"[128] ""I n d i a   t h a t   i s   B h a r a t       T o   p r e s e r v e   t h e   b i n a r y   o r t h o d o x y   a n d   f u n d a m e n t a l   b e l i e f s   i n   o n e   m o d e r n i t y ,   o n e   r a t i o n a l i t y   a n d   t h e i r   u n i"" [262] ""v e r s a l i t y ,   W e s t e r n   c i v i l i s a t i o n   c o n s t i t u t e d   i t s e l f   c l a i m i n g   o w n e r s h i p   o f   G r e e k   t h o u g h t   a n d   t h e   l o c a l   W e s t e r n   v e r s i o n   o f   C h r i s t i a n i t y ,"" [392] ""b y   t h e   d e s t i t u t i o n   o f   t h e   d i ﬀ e r e n c e s ,   a n d   t h e   a c c u s a t i o n   t h a t   d i ﬀ e r e n c e s   a n d   d i s s e n t i n g   p o s i t i o n s   t o   W e s t e r n   o r t h o d o x y   w e r e   a n d   a r""","
Western civilization has long sought to preserve its binary orthodoxy and fundamental beliefs in one modernity, one rationality and their universality. However, by ignoring the differences and accusing any dissenting positions to its orthodoxy as wrong, India, or Bharat, has been deprived of its unique identity. This has led to a limitation of the diversity of thought and progression of knowledge."
,"[262] ""v e r s a l i t y ,   W e s t e r n   c i v i l i s a t i o n   c o n s t i t u t e d   i t s e l f   c l a i m i n g   o w n e r s h i p   o f   G r e e k   t h o u g h t   a n d   t h e   l o c a l   W e s t e r n   v e r s i o n   o f   C h r i s t i a n i t y ,"" [392] ""b y   t h e   d e s t i t u t i o n   o f   t h e   d i ﬀ e r e n c e s ,   a n d   t h e   a c c u s a t i o n   t h a t   d i ﬀ e r e n c e s   a n d   d i s s e n t i n g   p o s i t i o n s   t o   W e s t e r n   o r t h o d o x y   w e r e   a n d   a r"" [526] ""e   i r r a t i o n a l ,   a n t i - m o d e r n   a n d   g r o u n d e d   i n   l o c a l   f u n d a m e n t a l i s m .   T h e   c e l e b r a t i o n s   o f   m o d e r n i t y   a n d   p o s t m o d e r n i t y   a r e   b o t h   c o n s e r v a t i v e""","
Modernity and postmodernity are both conservative forces that celebrate sameness and reject difference and dissenting positions, viewing them as irrational and anti-modern. The Western civilization has claimed ownership of Greek thought and the local Western version of Christianity as part of its versality. Such claims are grounded in local fundamentalism, suggesting that difference and dissent are not valid forms of thought."
,"[392] ""b y   t h e   d e s t i t u t i o n   o f   t h e   d i ﬀ e r e n c e s ,   a n d   t h e   a c c u s a t i o n   t h a t   d i ﬀ e r e n c e s   a n d   d i s s e n t i n g   p o s i t i o n s   t o   W e s t e r n   o r t h o d o x y   w e r e   a n d   a r"" [526] ""e   i r r a t i o n a l ,   a n t i - m o d e r n   a n d   g r o u n d e d   i n   l o c a l   f u n d a m e n t a l i s m .   T h e   c e l e b r a t i o n s   o f   m o d e r n i t y   a n d   p o s t m o d e r n i t y   a r e   b o t h   c o n s e r v a t i v e"" [656] ""i n   i n t e n t   t o   m a n a g e   t h e   f u t u r e .   D e c o l o n i a l i t y   d o e s n ’ t   p r o p o s e   a   r e t u r n   t o   a   p r i s t i n e   p a s t ,   b u t   t h e   r e c o n s t i t u t i o n s   a n d   r e s t i t u t i o n""","
Modernity and postmodernity are both conservative in intent to manage the future, as demonstrated by the destitution of differences and the accusation that differences and dissenting positions to Western orthodoxy were irrational and anti-modern. Decoloniality doesn't propose a return to a pristine past, but rather the reconstitutions and restitution of power dynamics. #Modernity #Postmodernity #Decoloniality"
,"[526] ""e   i r r a t i o n a l ,   a n t i - m o d e r n   a n d   g r o u n d e d   i n   l o c a l   f u n d a m e n t a l i s m .   T h e   c e l e b r a t i o n s   o f   m o d e r n i t y   a n d   p o s t m o d e r n i t y   a r e   b o t h   c o n s e r v a t i v e"" [656] ""i n   i n t e n t   t o   m a n a g e   t h e   f u t u r e .   D e c o l o n i a l i t y   d o e s n ’ t   p r o p o s e   a   r e t u r n   t o   a   p r i s t i n e   p a s t ,   b u t   t h e   r e c o n s t i t u t i o n s   a n d   r e s t i t u t i o n"" [786] ""s   i n   t h e   p r e s e n t   ( a n d   t o w a r d s   t h e   f u t u r e )   o f   d e s t i t u t i o n s   i n   t h e   n a m e   o f   m o d e r n i t y ,   r a t i o n a l i t y   a n d   e m a n c i p a t e d   t h i n k i n g .   S a i   D e e p""","
Coloniality proposes reconstructions of destitutions in the name of modernity, rationality, and emancipated thinking. Sai Deep's approach of irrational, anti-modern, and grounded in local fundamentalism celebrates modernity and postmodernity in an intent to manage the future. Decolonization does not aim to return to a pristine past, but to create a better future."
,"[656] ""i n   i n t e n t   t o   m a n a g e   t h e   f u t u r e .   D e c o l o n i a l i t y   d o e s n ’ t   p r o p o s e   a   r e t u r n   t o   a   p r i s t i n e   p a s t ,   b u t   t h e   r e c o n s t i t u t i o n s   a n d   r e s t i t u t i o n"" [786] ""s   i n   t h e   p r e s e n t   ( a n d   t o w a r d s   t h e   f u t u r e )   o f   d e s t i t u t i o n s   i n   t h e   n a m e   o f   m o d e r n i t y ,   r a t i o n a l i t y   a n d   e m a n c i p a t e d   t h i n k i n g .   S a i   D e e p"" [918] ""a k   b u i l d s   a   s t r o n g   d e c o l o n i a l   a r g u m e n t   d i s e n g a g i n g   f r o m   m o d e r n   W e s t e r n   o r t h o d o x y   o f   t h e   e i t h e r / o r ,   a n d   p r o p o s e s   i n s t e a d   t h e   d e c o l o n i""","
Decoloniality proposes a reimagination of how the future can be managed through the reconstitution and restitution of destitutions in the present [786]. Sai Deepak [918] builds a strong argument against the Western orthodoxy of either/or, and instead promotes decolonial thought as an alternative [918]. By merging the past with the present, decoloniality can bring about a more balanced and liberated future [656]. #Decolonization #Future #Liberation"
,"[786] ""s   i n   t h e   p r e s e n t   ( a n d   t o w a r d s   t h e   f u t u r e )   o f   d e s t i t u t i o n s   i n   t h e   n a m e   o f   m o d e r n i t y ,   r a t i o n a l i t y   a n d   e m a n c i p a t e d   t h i n k i n g .   S a i   D e e p"" [918] ""a k   b u i l d s   a   s t r o n g   d e c o l o n i a l   a r g u m e n t   d i s e n g a g i n g   f r o m   m o d e r n   W e s t e r n   o r t h o d o x y   o f   t h e   e i t h e r / o r ,   a n d   p r o p o s e s   i n s t e a d   t h e   d e c o l o n i"" [1047] ""a l   l o g i c   o f   n e i t h e r / n o r .   H e   d o e s   i t   b y   m e a n s   o f   a   d e t a i l e d   a n d   c a r e f u l   r e c o n s t i t u t i o n   o f   k n o w l e d g e s ,   w a y s   o f   k n o w i n g   a n d   p a t t e r n s""","
The modern society is characterized by destitution, rationality and emancipated thinking [786]. Sai Deep proposes a decolonial argument which rejects modern Western orthodoxy of 'either/or' and proposes 'neither/nor' logic instead [918]. He reconstructs knowledge, ways of knowing and patterns in order to back his argument [1047]."
,"[918] ""a k   b u i l d s   a   s t r o n g   d e c o l o n i a l   a r g u m e n t   d i s e n g a g i n g   f r o m   m o d e r n   W e s t e r n   o r t h o d o x y   o f   t h e   e i t h e r / o r ,   a n d   p r o p o s e s   i n s t e a d   t h e   d e c o l o n i"" [1047] ""a l   l o g i c   o f   n e i t h e r / n o r .   H e   d o e s   i t   b y   m e a n s   o f   a   d e t a i l e d   a n d   c a r e f u l   r e c o n s t i t u t i o n   o f   k n o w l e d g e s ,   w a y s   o f   k n o w i n g   a n d   p a t t e r n s"" [1175] ""o f   s e n s i n g   t h a t   w e r e   d e s t i t u t e d   a n d   c o n t i n u e   t o   b e   s o   i n   t h e   n a m e   o f   p r o g r e s s ,   d e m o c r a c y   a n d   e c o n o m i c   d e v e l o p m e n t ,   a l l   u n d e r   t h""","
[918] Decolonizing the logic of knowledge and ways of knowing is key to strong colonial arguments. [1047] Reconstituting knowledge, ways of knowing and patterns of sensing from the vestiges of progress, democracy and economic development is necessary for a logic of neither/nor. [1175] By understanding how colonialism has been deprived of certain knowledge and continues to be so, we can create a better future free of the either/or Western orthodoxy."
,"[1047] ""a l   l o g i c   o f   n e i t h e r / n o r .   H e   d o e s   i t   b y   m e a n s   o f   a   d e t a i l e d   a n d   c a r e f u l   r e c o n s t i t u t i o n   o f   k n o w l e d g e s ,   w a y s   o f   k n o w i n g   a n d   p a t t e r n s"" [1175] ""o f   s e n s i n g   t h a t   w e r e   d e s t i t u t e d   a n d   c o n t i n u e   t o   b e   s o   i n   t h e   n a m e   o f   p r o g r e s s ,   d e m o c r a c y   a n d   e c o n o m i c   d e v e l o p m e n t ,   a l l   u n d e r   t h"" [1306] ""e   m a n t r a   t h a t   m o r e   i s   b e t t e r .   S u c h   r e c o n s t i t u t i o n s   r e q u i r e   d w e l l i n g   a n d   t h i n k i n g   i n   t h e   b o r d e r s   b e t w e e n   g r o u n d e d   l o c a l   l a n g u a g e s ,   m""","
The book explicates the importance of neither/nor logic and how it can be used to reconstruct knowledge, ways of knowing, and patterns of sensing that have been deprived. It also highlights the dangers of blindly following the mantra of ""more is better"" and urges us to think critically about the consequences of progress, democracy, and economic development. Dwelling and thinking in between grounded local languages, methods, and practices can be a way to uncover meaningful insights."
,"[1175] ""o f   s e n s i n g   t h a t   w e r e   d e s t i t u t e d   a n d   c o n t i n u e   t o   b e   s o   i n   t h e   n a m e   o f   p r o g r e s s ,   d e m o c r a c y   a n d   e c o n o m i c   d e v e l o p m e n t ,   a l l   u n d e r   t h"" [1306] ""e   m a n t r a   t h a t   m o r e   i s   b e t t e r .   S u c h   r e c o n s t i t u t i o n s   r e q u i r e   d w e l l i n g   a n d   t h i n k i n g   i n   t h e   b o r d e r s   b e t w e e n   g r o u n d e d   l o c a l   l a n g u a g e s ,   m"" [1436] ""e m o r i e s   a n d   p r a x i s   o f   l i v i n g   t h a t   c a n n o t   b e   s u p p l a n t e d   b y   l a n g u a g e s ,   m e m o r i e s   a n d   p r a x i s   o f   l i v i n g   g r o u n d e d   i n   f o r e i g n   l o c a l   h i s t o""","
Social media has become a powerful tool to spread awareness about pressing issues like deprivation caused by progress, democracy, and economic development. It's important to remember that such reconstitutions require dwelling and thinking in the boundaries between grounded local languages, memories, and praxis of living that cannot be supplanted by foreign local histories. We must recognize the need to protect local cultures, histories, and memories in the face of development. #ProtectLocalCultures #ProgressIsNotAlwaysGood #PreserveLocalMemories"
,"[1306] ""e   m a n t r a   t h a t   m o r e   i s   b e t t e r .   S u c h   r e c o n s t i t u t i o n s   r e q u i r e   d w e l l i n g   a n d   t h i n k i n g   i n   t h e   b o r d e r s   b e t w e e n   g r o u n d e d   l o c a l   l a n g u a g e s ,   m"" [1436] ""e m o r i e s   a n d   p r a x i s   o f   l i v i n g   t h a t   c a n n o t   b e   s u p p l a n t e d   b y   l a n g u a g e s ,   m e m o r i e s   a n d   p r a x i s   o f   l i v i n g   g r o u n d e d   i n   f o r e i g n   l o c a l   h i s t o"" [1566] ""r i e s .   S u c h   i s   t h e   a r g u m e n t   t h a t   S a i   D e e p a k   b u i l d s ,   a n d   i n v i t e s   u s   t o   t h i n k   a n d   w o r k   d e c o l o n i a l l y   t o w a r d s   p l u r i v e r s a l   f u t u r e s .   — W a l""","
The author, Sai Deepak, invites us to think and work decolonially towards pluriversal futures. He argues that more is not always better and that grounded local languages, memories, and praxes of living cannot be supplanted by foreign local histories. We must dwell and think in the boundaries between cultures in order to create meaningful re-constitutions."
